Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
4.589955012003581e-05	2630000	1354	16.84	16.84	0.0938875
6.117026011149088e-05	2640000	1358	16.89	16.89	0.09385
2.2641817728678386e-05	2650000	1363	16.97	16.97	0.09381250000000001
4.031658172607422e-05	2660000	1367	16.97	16.99	0.09377500000000001
4.9066543579101565e-05	2670000	1372	17.02	17.02	0.0937375
4.705985387166341e-05	2680000	1376	17.17	17.17	0.0937
4.105567932128906e-05	2690000	1381	17.18	17.18	0.09366250000000001
4.297494888305664e-05	2700000	1386	17.18	17.2	0.093625
4.040400187174479e-05	2710000	1390	17.26	17.26	0.0935875
5.020697911580404e-05	2720000	1395	17.3	17.3	0.09355000000000001
4.527568817138672e-05	2730000	1400	17.34	17.36	0.0935125
4.303852717081706e-05	2740000	1403	17.3	17.37	0.093475
4.813671112060547e-05	2750000	1408	17.23	17.37	0.0934375
6.01808230082194e-05	2760000	1412	17.05	17.37	0.09340000000000001
7.698933283487956e-05	2770000	1416	17.04	17.37	0.0933625
2.550681432088216e-05	2780000	1421	16.99	17.37	0.093325
6.402333577473959e-05	2790000	1425	16.97	17.37	0.09328750000000001
3.83297602335612e-05	2800000	1429	16.95	17.37	0.09325
2.3468335469563803e-05	2810000	1433	16.87	17.37	0.0932125
4.997650782267253e-05	2820000	1438	16.9	17.37	0.09317500000000001
6.360610326131186e-05	2830000	1442	16.83	17.37	0.09313750000000001
3.5874048868815105e-05	2840000	1446	16.84	17.37	0.0931
4.969040552775065e-05	2850000	1451	16.92	17.37	0.0930625
4.2426586151123044e-05	2860000	1455	16.95	17.37	0.09302500000000001
4.386107126871745e-05	2870000	1460	17.01	17.37	0.0929875
4.717111587524414e-05	2880000	1464	17.06	17.37	0.09295
4.4969717661539715e-05	2890000	1469	17.09	17.37	0.09291250000000001
4.235108693440755e-05	2900000	1473	16.94	17.37	0.092875
4.136959711710612e-05	2910000	1477	16.9	17.37	0.0928375
4.885991414388021e-05	2920000	1482	16.79	17.37	0.09280000000000001
4.212458928426107e-05	2930000	1486	16.6	17.37	0.0927625
5.5742263793945315e-05	2940000	1490	16.48	17.37	0.092725
4.5700867970784506e-05	2950000	1494	16.42	17.37	0.0926875
2.3384888966878254e-05	2960000	1499	16.33	17.37	0.09265000000000001
4.743337631225586e-05	2970000	1504	16.51	17.37	0.0926125
2.3150444030761717e-05	2980000	1509	16.52	17.37	0.092575
4.1262308756510416e-05	2990000	1513	16.6	17.37	0.09253750000000001
4.9161911010742185e-05	3000000	1518	16.6	17.37	0.0925
4.717906316121419e-05	3010000	1523	16.63	17.37	0.0924625
4.465977350870768e-05	3020000	1528	16.74	17.37	0.09242500000000001
