Time	Timestep	Episodes	AverageReturn	MaxReturn	Exploration
5.134741465250651e-05	1340000	842	-4.77	-4.77	0.09872500000000001
5.240440368652344e-05	1350000	845	-4.55	-4.55	0.09868750000000001
4.638433456420899e-05	1360000	847	-4.41	-4.41	0.09865
4.381338755289714e-05	1370000	850	-4.29	-4.29	0.0986125
2.424319585164388e-05	1380000	853	-4.29	-4.27	0.09857500000000001
4.607439041137695e-05	1390000	856	-4.04	-4.04	0.0985375
9.282430013020833e-05	1400000	859	-3.65	-3.65	0.0985
4.443724950154622e-05	1410000	862	-3.3	-3.3	0.09846250000000001
8.072853088378907e-05	1420000	865	-3.17	-3.17	0.098425
2.1096070607503255e-05	1430000	868	-2.89	-2.89	0.0983875
4.1043758392333986e-05	1440000	871	-2.28	-2.28	0.09835
4.152059555053711e-05	1450000	874	-1.72	-1.72	0.09831250000000001
4.4135252634684247e-05	1460000	878	-1.01	-1.01	0.098275
4.6483675638834636e-05	1470000	881	-0.58	-0.58	0.0982375
4.7389666239420576e-05	1480000	885	0.21	0.21	0.09820000000000001
4.7485033671061196e-05	1490000	888	0.84	0.84	0.0981625
4.579623540242513e-05	1500000	892	1.74	1.74	0.098125
4.801750183105469e-05	1510000	897	2.68	2.68	0.09808750000000001
5.009571711222331e-05	1520000	900	3.31	3.31	0.09805
4.6312808990478516e-05	1530000	904	4.06	4.06	0.0980125
2.5101502736409505e-05	1540000	909	4.94	4.94	0.097975
4.718701044718424e-05	1550000	912	5.35	5.35	0.09793750000000001
5.464951197306315e-05	1560000	916	5.76	5.76	0.0979
4.393259684244792e-05	1570000	919	6.07	6.07	0.0978625
2.4724006652832032e-05	1580000	922	6.35	6.35	0.09782500000000001
4.325707753499349e-05	1590000	925	6.52	6.52	0.0977875
3.920396169026693e-05	1600000	928	6.55	6.6	0.09775
4.629691441853841e-05	1610000	932	6.98	6.98	0.09771250000000001
5.026658376057943e-05	1620000	936	7.51	7.51	0.09767500000000001
4.9448013305664064e-05	1630000	940	8.07	8.07	0.0976375
6.772279739379883e-05	1640000	943	8.54	8.54	0.0976
4.6753883361816405e-05	1650000	947	8.91	8.91	0.09756250000000001
5.232890446980794e-05	1660000	950	9.37	9.37	0.097525
4.291931788126628e-05	1670000	954	9.8	9.8	0.0974875
4.651149113972982e-05	1680000	957	9.97	10.04	0.09745000000000001
4.731019337972005e-05	1690000	961	10.51	10.51	0.0974125
4.774729410807292e-05	1700000	965	11.01	11.01	0.097375
2.7290980021158855e-05	1710000	968	11.22	11.24	0.09733750000000001
5.284547805786133e-05	1720000	972	11.26	11.26	0.09730000000000001
5.1808357238769534e-05	1730000	975	11.41	11.41	0.0972625
